"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",35,0.945945945945946,10020.3729849757
"(0.5, 0.7]",1,0.027027027027027,25042.6772539143
"(0.7, 1]",1,0.027027027027027,538.021116880952
"(1, Inf)",0,0,NA
