"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",30,0.810810810810811,55348.1914480026
"(0.5, 0.7]",5,0.135135135135135,8347.49064453403
"(0.7, 1]",2,0.0540540540540541,409.745953497629
"(1, Inf)",0,0,NA
