"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",30,0.810810810810811,13217.5094143634
"(0.5, 0.7]",6,0.162162162162162,3480.37516181272
"(0.7, 1]",1,0.027027027027027,708.482255612925
"(1, Inf)",0,0,NA
