"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",30,0.810810810810811,40192.7308600371
"(0.5, 0.7]",6,0.162162162162162,6885.19290775689
"(0.7, 1]",1,0.027027027027027,4717.68140681379
"(1, Inf)",0,0,NA
