"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",35,0.945945945945946,9421.00564697085
"(0.5, 0.7]",1,0.027027027027027,6362.12025788779
"(0.7, 1]",1,0.027027027027027,703.038126703445
"(1, Inf)",0,0,NA
