"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"LL[1]",-0.356571359766244,0.505884795105367,-1.60962219287373,-0.610056152408832,-0.258115463351563,0.00010047120554154,0.347090479532507,1.00103187713344,35000
"LL[2]",-0.062153643198597,0.341455950699239,-0.905953996149889,-0.228164123253595,-0.00594083936134212,0.168652586511649,0.445125408562747,1.00098864670773,1e+05
"LL[3]",-0.351361684936396,0.487976492422041,-1.54867521016687,-0.601042574800543,-0.259199930354661,-0.00519511225002234,0.34360596786134,1.00099341287832,1e+05
"LL[4]",-0.301802316285789,0.414396313727668,-1.27270911062806,-0.535384204379991,-0.242259703416341,-0.00531133499662141,0.338527018919616,1.00104131987858,28000
"LL[5]",0.028903447144317,0.278679255463107,-0.612440021196935,-0.124803292779401,0.0614741555120629,0.220465094558845,0.481534226376609,1.00109001941673,15000
"LL[6]",-0.0104260883045613,0.294986554721219,-0.695950743935059,-0.17501211699127,0.0255468638372089,0.194846848695386,0.462743976713455,1.00103241999552,34000
"LL[7]",0.0661894333102789,0.248578343240256,-0.49459670585571,-0.0776199474355653,0.0889431413039139,0.237174099749679,0.487415135830954,1.00100181461565,1e+05
"LL[8]",-0.0346783750819563,0.297679853096667,-0.735999402802938,-0.195005659860387,0.00363684134093309,0.170278615826899,0.435427760092473,1.00098949632635,1e+05
"LL[9]",-0.107496901834369,0.34952892014714,-0.936831704215467,-0.293301893446099,-0.0552540361799648,0.136609756062241,0.426605652041744,1.00109768729153,14000
"LL[10]",-0.547732778854098,0.490238247790628,-1.69909046533409,-0.824365888155471,-0.47601989443866,-0.195018541917699,0.200554287651593,1.00101944658049,49000
"LL[11]",-0.213902971847025,0.367426851557966,-1.0781339512145,-0.41547384385714,-0.162674299058543,0.0440999679256491,0.356361253418139,1.00103171392245,35000
"LL[12]",-0.429108164820664,0.443532704596051,-1.46634640512952,-0.681927833547728,-0.369119018358653,-0.11211071125806,0.263159672685758,1.00102940313239,37000
"LL[13]",-0.582273288411831,0.701234664112448,-2.34536897293638,-0.924003978604671,-0.422589478059454,-0.0770064051137275,0.323339602795403,1.00103184631327,35000
"LL[14]",-1.73980117186081,1.0201922955174,-4.13616011067582,-2.32139950605353,-1.59262748110752,-0.99491315393444,-0.199005468480564,1.00098875812691,1e+05
"LL[15]",-0.214253571829388,0.464443392897426,-1.38437802852526,-0.410136637244083,-0.121778097510176,0.0931987113673494,0.402639592431336,1.00098850127713,1e+05
"LL[16]",-0.167476576455421,0.44434650111348,-1.27774438701083,-0.357938811982708,-0.081025897782665,0.127503832274831,0.427780622499854,1.00098868367276,1e+05
"LL[17]",-1.1188554496909,0.860464361890556,-3.1049676395472,-1.61379525656218,-1.00225421366962,-0.491598178450767,0.190501492323528,1.0009935459544,1e+05
"LL[18]",-0.165709880423703,0.442822360859278,-1.28206032699686,-0.35809628036788,-0.0763152814821249,0.127377257857503,0.429073494319796,1.00099415818717,1e+05
"LL[19]",-0.0603171015816059,0.360736311989016,-0.959876552918478,-0.228182218942769,0.00148334034226024,0.180806881062945,0.459388758779896,1.00101175849482,65000
"LL[20]",-0.172027615875534,0.441869792423767,-1.29962320069266,-0.371009499954516,-0.0820088266301621,0.127699564088045,0.429427971765955,1.0009889124352,1e+05
"LL[21]",-0.213496412935395,0.502008955860106,-1.52163169741836,-0.418845774740466,-0.0999841158228485,0.119530257815296,0.427369401742547,1.00099542569812,1e+05
"LL[22]",-0.524190551880259,0.411520798297008,-1.46605081585774,-0.761713556175436,-0.473364625209535,-0.230467368172692,0.134543553487105,1.00100867258538,74000
"LL[23]",-1.43067516816258,0.654737437451551,-2.91521462053485,-1.8192178269636,-1.35753623696127,-0.957466329561733,-0.372953664116441,1.00102696781405,39000
"LL[24]",-0.055019219749674,0.293993035786246,-0.732331495468233,-0.219718462926527,-0.0197037444391478,0.147847366943703,0.422649725334198,1.00099343201682,1e+05
"LL[25]",0.0430960203836347,0.24218256007522,-0.489967847960814,-0.102727726721525,0.0619513715214616,0.21081628020706,0.463947728294921,1.00101410907797,59000
"LL[26]",0.120544891693105,0.216680237422055,-0.34351494324285,-0.0143770427660893,0.132581823526671,0.270110199217249,0.511724416824403,1.00100352884745,1e+05
"LL[27]",-0.348098145993002,0.403901080029377,-1.29569029989657,-0.570668443480039,-0.289936366210267,-0.0608274232180552,0.274341779021021,1.00099618098991,1e+05
"LL[28]",-0.0749951177000884,0.357780146083943,-0.951385022981194,-0.250053409105952,-0.0153396491474005,0.168800068761085,0.453089298875712,1.00099183351776,1e+05
"LL[29]",-0.352988107753287,0.514405316833557,-1.63958235823359,-0.609704592194702,-0.247351078292659,0.0115670530573051,0.355827829793426,1.00099353774996,1e+05
"LL[30]",-0.127192812979928,0.391352741793584,-1.10875102222613,-0.313430033626958,-0.0563262250730228,0.140358811229126,0.435466969781651,1.00099115200538,1e+05
"LL[31]",-0.374854886913369,0.412622183109571,-1.34189525894458,-0.604676618939352,-0.315237005371677,-0.0812527434154726,0.261386281703098,1.00099957937367,1e+05
"LL[32]",-0.110610560325308,0.289691407154255,-0.767473691511478,-0.278870791727584,-0.0802720574812571,0.0917564462203521,0.370751504298984,1.0009948460445,1e+05
"LL[33]",-0.226635766401739,0.364499240441347,-1.07155718364137,-0.431829415762006,-0.178793923221694,0.0302721909813258,0.345615106784172,1.00102600201241,40000
"LL[34]",-0.0330191182745883,0.267121337565867,-0.632440902667191,-0.191680293524611,-0.00748589911493214,0.152756101228176,0.419077969232467,1.00102571788625,40000
"LL[35]",-0.0403054108344509,0.340947850531959,-0.875453623943437,-0.199655024553972,0.0146966642324055,0.18565784043262,0.456648264109926,1.00099160870022,1e+05
"LL[36]",-0.0618430921669482,0.367374645375597,-0.982805182954998,-0.22628132396981,0.00397812381046156,0.182172950272222,0.457276850871147,1.00102783636531,38000
"LL[37]",-0.445749421339014,0.722828266008316,-2.34034667507808,-0.724908570173755,-0.254942111439717,0.0380265466982545,0.392090153905808,1.00099747427589,1e+05
"Sigma[1,1]",0.0807251616951984,0.022031770712805,0.0484018323559219,0.065193952767266,0.077138083886138,0.0922733136509928,0.133350816389136,1.00099462699674,1e+05
"Sigma[2,1]",-0.0218051217500636,0.0260280920248002,-0.078351117976027,-0.0367457233983687,-0.020332743189794,-0.00515365619545652,0.0259494100504242,1.00101628281624,54000
"Sigma[1,2]",-0.0218051217500636,0.0260280920248002,-0.078351117976027,-0.0367457233983687,-0.020332743189794,-0.00515365619545652,0.0259494100504242,1.00101628281624,54000
"Sigma[2,2]",0.220308686458695,0.0619613269257876,0.12991204994179,0.176760125692235,0.210067434382959,0.252378322161802,0.369934693392832,1.00098919791658,1e+05
"alpha[1]",4.45164512794751,0.150200999402454,4.140575038147,4.36742573604318,4.45665166301509,4.54216207119081,4.73125721586243,1.00099292659743,1e+05
"alpha[2]",-2.31549739636476,0.367738954449545,-3.00835832687245,-2.53121479487702,-2.32642643367705,-2.11325801868145,-1.56161529187346,1.00162731996322,54000
"beta[1,1]",0,0,0,0,0,0,0,1,1
"beta[2,1]",0.0484457052077522,0.10919710519262,-0.16766352952243,-0.0239839877201253,0.0486458918517973,0.120515934749415,0.261986768900301,1.00098998847281,1e+05
"beta[3,1]",0.0196480488497447,0.161606957032412,-0.300490969744615,-0.0866353263577359,0.0194707294471887,0.12609169686456,0.340133779617655,1.00100241551085,1e+05
"beta[1,2]",0,0,0,0,0,0,0,1,1
"beta[2,2]",-0.0908424549359488,0.183855486512685,-0.450990167541644,-0.212562227149101,-0.0917167032096096,0.0302872327314805,0.273468368885341,1.00098884076749,1e+05
"beta[3,2]",-0.102738011559765,0.268808053794692,-0.634185310170368,-0.280297953422393,-0.103010480140978,0.0749522372012818,0.425967118983178,1.00102251743641,44000
"deviance",21.5937778838744,11.4024110511199,0.641428304711946,13.6660858873504,21.0905261381444,28.9683220654441,45.3325041090101,1.00101797429327,51000
"exp.mean[1,1]",71.184167800634,10.232519611004,53.4820519333311,64.1955713303269,70.3999633497452,77.2265217078639,93.6925709650221,1.00102453907727,42000
"exp.mean[2,1]",105.887617074507,12.0572860896658,83.9613172249931,97.7233948888281,105.273131294137,113.352147477234,131.445576582324,1.00102152678057,45000
"exp.mean[3,1]",84.0703288426328,12.2786526541618,62.1076424678421,75.8403783127924,83.364658051791,91.3226417677851,110.534699546964,1.00099132060641,1e+05
"exp.mean[4,1]",96.0710546231817,11.3047062126661,75.7058606199405,88.5470377513445,95.4287505692572,102.812075126457,120.349104854028,1.00099337969118,1e+05
"exp.mean[5,1]",80.4030697754616,15.8454832558992,51.4611851436793,69.9800268748542,79.6224892526463,89.7775765865375,114.255493232323,1.00103188948736,35000
"exp.mean[1,2]",0.192655053579084,0.0513985623413261,0.097693672609686,0.159117893834459,0.189680905000374,0.222741889107699,0.303432521598238,1.00100856090822,75000
"exp.mean[2,2]",0.052471293479583,0.0114598405340384,0.034390569001133,0.0447788530259058,0.051044697010169,0.0584621019975765,0.079226749124476,1.00098874125976,1e+05
"exp.mean[3,2]",0.114580386212846,0.0340873160443383,0.0618095975908766,0.0910250190521748,0.109884706624852,0.132649857423316,0.194693482951121,1.00102121517546,46000
"exp.mean[4,2]",0.0729035651561278,0.0165241902421452,0.0466095082808012,0.0618897930586712,0.0709154171925579,0.0815211863597126,0.11089752673156,1.00100951283672,71000
"exp.mean[5,2]",0.134490952923538,0.0631200091296104,0.0536683451456544,0.0918715204592178,0.121421384555384,0.161602689269362,0.293170005298344,1.0010389353285,30000
"exp.meanpop[1,1]",69.2383117472463,9.64702005602493,52.197604159906,62.6210188741066,68.5304214316453,75.0851834806629,90.1617791775068,1.00100220281397,1e+05
"exp.meanpop[2,1]",68.5265242616975,7.70052654912993,54.7827717797741,63.2010611439158,68.0647739141836,73.2877371867037,85.0716324889942,1.00098849256886,1e+05
"exp.meanpop[3,1]",112.598705463156,12.465210165524,90.2174023692324,104.062912289152,111.836513331308,120.308009378924,139.219979710776,1.0010259616585,40000
"exp.meanpop[4,1]",107.808625145355,16.0603331771886,79.2625065880356,97.0419690225477,106.717974868072,117.258525020198,142.757286056006,1.00099773239074,1e+05
"exp.meanpop[5,1]",105.801644280577,15.6660617451835,77.3958264949797,95.3549487371502,104.944461434443,115.206227182189,139.553920463903,1.00099540923348,1e+05
"exp.meanpop[6,1]",104.933237788785,16.240789604286,75.4539980600492,94.056325323107,103.995772829238,114.739764878765,139.773273030608,1.00099673910385,1e+05
"exp.meanpop[7,1]",107.200752516003,15.8561875782169,78.764731814399,96.5058970159598,106.198224940362,116.597481415651,141.691824042632,1.00098864326744,1e+05
"exp.meanpop[8,1]",82.3439173056078,12.2498935995275,60.723961594915,73.9824421551864,81.5141115985247,89.765782660349,108.889181835718,1.00100051396509,1e+05
"exp.meanpop[9,1]",85.5965567517122,14.8656237403614,60.2175329094917,75.4677269936911,84.3040058102806,94.1239172565986,118.657073922741,1.00099035487016,1e+05
"exp.meanpop[10,1]",98.7493351151057,8.90278504956388,82.3065076022476,92.682320577749,98.3818331781743,104.399831592663,117.275472900281,1.00099102557187,1e+05
"exp.meanpop[11,1]",96.1916026719379,12.9741388457215,72.753381688857,87.4055795986661,95.4293187211482,104.052693002882,124.110282003053,1.00098975613025,1e+05
"exp.meanpop[12,1]",78.4425834826954,16.2522910835601,49.9815114816492,67.4142683510457,77.265924290483,88.0633010928814,114.268747409205,1.0010160882562,54000
"exp.meanpop[1,2]",0.189041374190138,0.0450136526845911,0.11175063441543,0.157740268971902,0.18531706957951,0.215927022108172,0.288782584536142,1.00100670116398,82000
"exp.meanpop[2,2]",0.218410378154191,0.0417866709086315,0.146256497676396,0.189279140408574,0.215094879395512,0.243622224279491,0.310235855063245,1.00103421072105,33000
"exp.meanpop[3,2]",0.0547411778265621,0.010377453000939,0.0376028143601281,0.0475373266047979,0.0536521439430242,0.0607199544457407,0.0781298924090589,1.00101031522146,69000
"exp.meanpop[4,2]",0.0559333833315856,0.0155348487750339,0.0333548127651675,0.0456774717279052,0.0534884076665859,0.0631302963011231,0.0934656931569586,1.00099467619629,1e+05
"exp.meanpop[5,2]",0.0504301192073154,0.0131931163883247,0.0289026926681011,0.0415940928003825,0.0489654539964602,0.057419942343374,0.0806071099252319,1.00100678883213,82000
"exp.meanpop[6,2]",0.0460290258078991,0.0125317502465231,0.0239190326055052,0.0376130659276665,0.0451798562560292,0.0533088277391321,0.0733936126984544,1.00099568825613,1e+05
"exp.meanpop[7,2]",0.0503081273287679,0.0130420384577576,0.0288461510581389,0.0416300757203834,0.0488898182717401,0.0572334055877938,0.0802684895511176,1.0009902812241,1e+05
"exp.meanpop[8,2]",0.119295848640943,0.0326333865948296,0.0679456535897622,0.0965055905926965,0.115155055189255,0.137331775542447,0.195447658763192,1.00104143053909,28000
"exp.meanpop[9,2]",0.113617054497628,0.0363420010800238,0.0574889240911002,0.0884392113865651,0.10866329785513,0.132866015628439,0.198281937258364,1.00100524205346,90000
"exp.meanpop[10,2]",0.0696973593700095,0.0106226497137188,0.051197409131891,0.0623514217977722,0.0688692214285579,0.0760968642693748,0.0930088952104643,1.00103911551001,30000
"exp.meanpop[11,2]",0.0720632112215719,0.0168511465455933,0.0446757384031504,0.0606090146204703,0.0701372601443392,0.0812265705384428,0.110826069446197,1.00099521683425,1e+05
"exp.meanpop[12,2]",0.137443543596787,0.0602514294385847,0.0568499152441762,0.096163252130757,0.12572162404943,0.164912850824351,0.286344353517453,1.00102727307123,39000
"intercept[1]",86.7321718334798,13.1276435588445,62.8389458529223,78.8404142074214,86.1984040516671,93.8935854385781,113.438088901359,1.00099548364122,1e+05
"intercept[2]",0.106518055541987,0.0589889596878617,0.0493726660440297,0.0795623096698202,0.0976440618870379,0.120843613627074,0.209796914105227,1.00162731996322,54000
"mu[1,1]",4.27641816127357,0.132796351577995,4.01559684695058,4.18875332910231,4.27605895578411,4.36386039438621,4.53735026538598,1.0010119869686,64000
"mu[2,1]",4.22797245606581,0.138373212556247,3.95503659651159,4.13710098651132,4.22727775517223,4.3186232487686,4.50160560309376,1.00100235203961,1e+05
"mu[3,1]",4.27641816127357,0.132796351577995,4.01559684695058,4.18875332910231,4.27605895578411,4.36386039438621,4.53735026538598,1.0010119869686,64000
"mu[4,1]",4.22097327634212,0.111686658686428,4.00337576094347,4.14632109126358,4.22045980934243,4.29439329867198,4.44349363675292,1.00098849380478,1e+05
"mu[5,1]",4.26941898154987,0.119984149677273,4.03348203455688,4.1901639591653,4.26908746554918,4.34836874605931,4.50669825878375,1.00098958340222,1e+05
"mu[6,1]",4.22097327634212,0.111686658686428,4.00337576094347,4.14632109126358,4.22045980934243,4.29439329867198,4.44349363675292,1.00098849380478,1e+05
"mu[7,1]",4.22097327634212,0.111686658686428,4.00337576094347,4.14632109126358,4.22045980934243,4.29439329867198,4.44349363675292,1.00098849380478,1e+05
"mu[8,1]",4.22097327634212,0.111686658686428,4.00337576094347,4.14632109126358,4.22045980934243,4.29439329867198,4.44349363675292,1.00098849380478,1e+05
"mu[9,1]",4.26941898154987,0.119984149677273,4.03348203455688,4.1901639591653,4.26908746554918,4.34836874605931,4.50669825878375,1.00098958340222,1e+05
"mu[10,1]",4.71776124715312,0.11010316185294,4.50222233938251,4.64499564210469,4.71703810249259,4.79005519914281,4.93605527000099,1.00102642422029,40000
"mu[11,1]",4.71776124715312,0.11010316185294,4.50222233938251,4.64499564210469,4.71703810249259,4.79005519914281,4.93605527000099,1.00102642422029,40000
"mu[12,1]",4.71776124715312,0.11010316185294,4.50222233938251,4.64499564210469,4.71703810249259,4.79005519914281,4.93605527000099,1.00102642422029,40000
"mu[13,1]",4.73740929600287,0.169965879194046,4.40170331160773,4.62553506938953,4.73780851426444,4.84920224939158,5.07155813452398,1.00098892177032,1e+05
"mu[14,1]",4.76620695236087,0.138036966688815,4.49379922321896,4.67456189883617,4.76615790155835,4.85812430363926,5.03708602018001,1.0010045605715,93000
"mu[15,1]",4.66943013322407,0.147829603365864,4.37276521213721,4.57514355526344,4.6701896058633,4.76438111274461,4.96114588790613,1.00099742152608,1e+05
"mu[16,1]",4.65067018846746,0.14797223481875,4.34893285788281,4.55760623145505,4.65343127150048,4.7467238022018,4.93845105320105,1.00099498443629,1e+05
"mu[17,1]",4.64139158008222,0.154966520061921,4.3235231733292,4.54389380838279,4.64435025243909,4.74266665000597,4.94002163148353,1.00099717700247,1e+05
"mu[18,1]",4.66387922744173,0.147283032984032,4.36646533086916,4.56960411545154,4.66530739435796,4.75872767347406,4.95365444594486,1.00098862012308,1e+05
"mu[19,1]",4.39999063922034,0.147741050103182,4.10633837461477,4.30382779687836,4.4007761537062,4.49720386327714,4.6903306846521,1.00100116384593,1e+05
"mu[20,1]",4.39999063922034,0.147741050103182,4.10633837461477,4.30382779687836,4.4007761537062,4.49720386327714,4.6903306846521,1.00100116384593,1e+05
"mu[21,1]",4.48339172691385,0.170531715989917,4.14742001114634,4.37200535090436,4.48237327417089,4.59400149250625,4.82445386109959,1.00098882305474,1e+05
"mu[22,1]",4.58853625307274,0.0899984252195883,4.41045017627017,4.52917773785396,4.5888561648404,4.64822806235011,4.76452563661102,1.00099102133101,1e+05
"mu[23,1]",4.58853625307274,0.0899984252195883,4.41045017627017,4.52917773785396,4.5888561648404,4.64822806235011,4.76452563661102,1.00099102133101,1e+05
"mu[24,1]",4.6369819582805,0.103926018030514,4.43129500687208,4.56818245435531,4.63750039281174,4.70585526359485,4.84188839718334,1.00098850284414,1e+05
"mu[25,1]",4.58853625307274,0.0899984252195883,4.41045017627017,4.52917773785396,4.5888561648404,4.64822806235011,4.76452563661102,1.00099102133101,1e+05
"mu[26,1]",4.58853625307274,0.0899984252195883,4.41045017627017,4.52917773785396,4.5888561648404,4.64822806235011,4.76452563661102,1.00099102133101,1e+05
"mu[27,1]",4.6369819582805,0.103926018030514,4.43129500687208,4.56818245435531,4.63750039281174,4.70585526359485,4.84188839718334,1.00098850284414,1e+05
"mu[28,1]",4.60818430192249,0.145036614348072,4.32304934208175,4.51197105943657,4.60797909896847,4.70381593339103,4.89592648155141,1.0009983119273,1e+05
"mu[29,1]",4.60818430192249,0.145036614348072,4.32304934208175,4.51197105943657,4.60797909896847,4.70381593339103,4.89592648155141,1.0009983119273,1e+05
"mu[30,1]",4.60818430192249,0.145036614348072,4.32304934208175,4.51197105943657,4.60797909896847,4.70381593339103,4.89592648155141,1.0009983119273,1e+05
