"","X","Model","n.eff","Rhat","P.value","DIC","pDIC","WAIC","pWAIC","LOOIC","pLOOIC","deviance","deltaDIC","deltaWAIC","deltaLOOIC","PercentK","Iterations","LOO.wts"
"1",1,"A",5900,1.002,NA,86.6006404230741,65.0068625391997,30.9222644095283,1.21629135187952,32.4824527289719,8.76237912669534,21.5937778838744,25.9390393077707,11.6218297444974,12.7824260104731,0.810810810810811,2e+05,0
"2",1,"B",4100,1.001,NA,75.9623433874036,56.3767115667883,26.8320539761316,0.951777625146906,27.674060157249,6.77216735344679,19.5856318206153,15.3007422721002,7.5316193111007,7.9740334387502,0.945945945945946,1e+05,0.01
"3",1,"C",7700,1.04,NA,129.288533770185,70.2666296201212,67.9878000739769,0.864930808558149,68.9966586794483,8.46669596223212,59.0219041500639,68.6269326548816,48.687365408946,49.2966319609495,0.810810810810811,1e+06,0
"4",1,"D",8300,1.001,NA,60.6616011153034,46.4320427967757,19.3004346650309,0.72814370284855,19.7000267184988,4.77124785706558,14.2295583185276,0,0,0,0.972972972972973,1e+05,0.71
"5",1,"E",1600,1.037,NA,70.9008080362157,55.1782017802263,22.9442918510273,1.05808536987123,24.1666026975881,6.88778381466666,15.7226062559894,10.2392069209123,3.6438571859964,4.4665759790893,0.810810810810811,2e+05,0.08
"6",1,"F",4100,1.001,NA,96.2955574290871,70.9064452687488,36.7087973594772,1.37276098716565,38.9707278255499,10.5908128189046,25.3891121603383,35.6339563137837,17.4083626944463,19.2707011070511,0.810810810810811,1e+05,0
"7",1,"G",11000,1.001,NA,80.7697768853213,59.2819628641411,29.7434775015088,1.02254210547701,30.7651743103169,7.66760671832113,21.4878140211803,20.1081757700179,10.4430428364779,11.0651475918181,0.945945945945946,110000,0
"8",1,"H",5900,1.001,NA,79.723807189524,61.4054530883676,27.0116561625662,1.13825602286496,28.1859790007775,8.04146547699886,18.3183541011564,19.0622060742206,7.7112214975353,8.4859522822787,0.864864864864865,1e+05,0.01
"9",1,"I",6600,1.001,NA,65.8360601463436,50.3363808288064,21.7024502814116,0.910019062337981,22.3217320682921,5.79707038750171,15.4996793175372,5.1744590310402,2.4020156163807,2.6217053497933,0.945945945945946,1e+05,0.19
