"","Expected","Residuals","Variable","Model"
"244",4.60360440886879,-0.052890408676755,"log(italic(L)[infinity])","D"
"245",4.60360440886879,0.0968759569236293,"log(italic(L)[infinity])","D"
"246",4.60360440886879,0.114001206449093,"log(italic(L)[infinity])","D"
"247",4.60360440886879,-0.0382150928925406,"log(italic(L)[infinity])","D"
"248",4.60360440886879,-0.03157744147395,"log(italic(L)[infinity])","D"
"249",4.60360440886879,-0.02703947989103,"log(italic(L)[infinity])","D"
"250",4.60360440886879,-0.0128374531914399,"log(italic(L)[infinity])","D"
"251",4.60360440886879,0.105024485487534,"log(italic(L)[infinity])","D"
"252",4.60360440886879,0.0568112513452823,"log(italic(L)[infinity])","D"
"253",4.60360440886879,0.00196569714063101,"log(italic(L)[infinity])","D"
"254",4.60360440886879,-0.1005776965494,"log(italic(L)[infinity])","D"
"255",4.60360440886879,0.118014589762551,"log(italic(L)[infinity])","D"
"256",4.60360440886879,-0.00143873190099496,"log(italic(L)[infinity])","D"
"257",4.60360440886879,-0.112499179168669,"log(italic(L)[infinity])","D"
"258",4.60360440886879,0.044146224654422,"log(italic(L)[infinity])","D"
"259",4.38801617026295,-0.115385962368463,"log(italic(L)[infinity])","D"
"260",-1.6328911424196,0.0957738915651288,"log(italic(K))","D"
"261",-1.6328911424196,-0.159868827142035,"log(italic(K))","D"
"262",-1.6328911424196,-0.529932008199284,"log(italic(K))","D"
"263",-1.6328911424196,0.484037637314747,"log(italic(K))","D"
"264",-1.6328911424196,0.114207593253967,"log(italic(K))","D"
"265",-1.6328911424196,0.281963925137004,"log(italic(K))","D"
"266",-1.6328911424196,0.0698596027996586,"log(italic(K))","D"
"267",-1.6328911424196,-0.0725071611604084,"log(italic(K))","D"
"268",-1.6328911424196,0.246596781299713,"log(italic(K))","D"
"269",-2.99485480844904,0.572359418782434,"log(italic(K))","D"
"270",-2.99485480844904,0.404587643003211,"log(italic(K))","D"
"271",-2.99485480844904,-0.0416994596252086,"log(italic(K))","D"
"272",-2.99485480844904,0.363765648482956,"log(italic(K))","D"
"273",-2.99485480844904,-0.835588209986685,"log(italic(K))","D"
"274",-2.99485480844904,0.306607234643007,"log(italic(K))","D"
