"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",32,0.864864864864865,10523.8346902776
"(0.5, 0.7]",4,0.108108108108108,4697.95677097367
"(0.7, 1]",1,0.027027027027027,907.680335746736
"(1, Inf)",0,0,NA
