"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"LL[1]",0.0118072448403051,0.27463411044196,-0.609310398619043,-0.149216019010934,0.0400993196672051,0.203521964824077,0.473829948711561,1.00101915427653,37000
"LL[2]",-0.0474051070486083,0.292385647715704,-0.726898554732692,-0.211554518215603,-0.0113842884407623,0.157108277574596,0.423368475644285,1.0009896908046,50000
"LL[3]",-0.359065628197189,0.567724110817406,-1.8030889204918,-0.628187038781162,-0.232198674887388,0.0412283198481374,0.390849622571126,1.00098650228242,50000
"LL[4]",-0.257556567946867,0.37178880267533,-1.11813824051267,-0.472766415797039,-0.209287897082624,0.00752234459246783,0.335462819833872,1.00106281939499,18000
"LL[5]",0.134835768417282,0.224651837394184,-0.355180534874068,-0.00250605217301358,0.15078530112441,0.289487825223184,0.529599223184474,1.00099698427853,50000
"LL[6]",-0.469642128062054,0.558915201720905,-1.81574823312286,-0.771684231130404,-0.37010138190693,-0.0630268492652004,0.325762340526075,1.0009806931639,50000
"LL[7]",0.130452917693738,0.224728827287134,-0.356427970553317,-0.0057723414155825,0.146287800929803,0.284988925470529,0.524954669402421,1.00098726849069,50000
"LL[8]",0.0447956713161399,0.25799712911071,-0.532459000310258,-0.105264439449528,0.0698177780429435,0.222723294151065,0.477449842969892,1.00097910558403,50000
"LL[9]",-0.406043801878995,0.532426824116958,-1.69427795842255,-0.690780677321875,-0.309149159952794,-0.0186037156906336,0.350406758887991,1.00098598744983,50000
"LL[10]",-0.331753427451513,0.435466493912708,-1.38700750795862,-0.559196647769101,-0.25666262558496,-0.024317826367462,0.311694470773606,1.00099225030956,50000
"LL[11]",-0.737096727907158,0.661446140281422,-2.32581171398955,-1.09864800378119,-0.621890257401082,-0.253052165531198,0.207832464078519,1.00098877020347,50000
"LL[12]",-0.238535758749056,0.447505050157002,-1.33856294382145,-0.465330800960791,-0.154584211074858,0.0761755230123071,0.401531716629398,1.00102231034923,34000
"LL[13]",-0.531448302573311,0.672103528295577,-2.21914924589034,-0.867654291602597,-0.377677646758811,-0.0468833421415883,0.350291196459752,1.0009834679016,50000
"LL[14]",-1.23550280808787,0.826545129113062,-3.17005361850286,-1.71160553698664,-1.11272540537689,-0.629876002097782,0.00748251033209877,1.00097901630934,50000
"LL[15]",0.0253662106725635,0.280715950998613,-0.625227223794848,-0.129934129742047,0.0580925346396255,0.219019133984895,0.480016765684601,1.00099020530675,50000
"LL[16]",-0.177708107534379,0.470100404307404,-1.36037431387199,-0.390337159078831,-0.0768696002478527,0.143639852390378,0.453325869118644,1.00097875117283,50000
"LL[17]",-1.29694183644719,0.923347370233718,-3.48760065595281,-1.82360294709076,-1.14741563000852,-0.620128778597294,0.0526711450274992,1.00099319723678,50000
"LL[18]",-0.365339705038212,0.459195505929504,-1.44983728765523,-0.619714318288493,-0.294188625788367,-0.0352715116592489,0.326410269413224,1.00107302931411,16000
"LL[19]",0.0312287138466907,0.314934014805556,-0.739294822894104,-0.121354132892809,0.0780156044417705,0.24256339832873,0.503203268931945,1.00097977089942,50000
"LL[20]",-0.0730880749765541,0.386558223763736,-1.0511871664847,-0.250756335578992,-0.000568521254000683,0.187254818735432,0.470909041527231,1.00099934952991,50000
"LL[21]",-0.123555183263254,0.432739570533108,-1.22504158991731,-0.315808839205407,-0.0362707979078404,0.1662737417063,0.462279863452512,1.00104113803706,24000
"LL[22]",-0.407204710972158,0.337796060746791,-1.1689293092683,-0.606569145700656,-0.369286641151467,-0.170367040647782,0.151992743819873,1.0010052858479,50000
"LL[23]",-1.53670032170925,0.604712817369333,-2.89223401638541,-1.90075759049498,-1.47295662692374,-1.10516713996731,-0.529737004127592,1.00097848446607,50000
"LL[24]",0.04250824002226,0.227108270306354,-0.440659879393918,-0.0990918400296465,0.0557225651698559,0.200540587006113,0.449478919055718,1.00098378072714,50000
"LL[25]",0.0793707317022412,0.224817592813181,-0.4030467956424,-0.0608392814967777,0.0930980280405635,0.235197792236269,0.479949106461304,1.00097945653855,50000
"LL[26]",0.170351252168228,0.204126540197076,-0.257339441897211,0.039330801451785,0.17974800365706,0.311850053749583,0.544203087958257,1.00097850914982,50000
"LL[27]",-0.0363955471277433,0.246401632726047,-0.576425080955482,-0.186008143210114,-0.0171872439805156,0.133457794028311,0.395007281220007,1.0009974569085,50000
"LL[28]",-0.457153865452274,0.596721422664297,-1.94921979881484,-0.755065861278839,-0.334234188918305,-0.0271543311832276,0.344731380405682,1.00108618967684,14000
"LL[29]",-0.334901577366808,0.594765808770248,-1.86534286582908,-0.599235488086878,-0.192163827575422,0.0759774430665676,0.412605781722152,1.00103561932631,26000
"LL[30]",-0.0969467266484738,0.265631019501437,-0.680243936095215,-0.259667742035248,-0.075927486782976,0.0892533675700928,0.363383808793954,1.0009788269537,50000
"LL[31]",-0.0716252393482539,0.253528356538522,-0.629717723904577,-0.225723683849194,-0.0505533938664054,0.104275548724558,0.369969990457448,1.00099976628579,50000
"LL[32]",-0.017374516920065,0.244014840343911,-0.550881861782279,-0.164487431632835,0.00223272686246107,0.151030587768587,0.407283499896828,1.00098898611241,50000
"LL[33]",-0.100735339750952,0.377175397293401,-1.00984489455751,-0.294810570190926,-0.0352110922237779,0.160671871068748,0.453740767329245,1.00099401742476,50000
"LL[34]",-0.0137035695624974,0.246463643249859,-0.553648427986099,-0.165562404861186,0.00480783294846998,0.158142708708542,0.416752939091839,1.00097932468262,50000
"LL[35]",0.130213799522517,0.209833068950833,-0.315469162858812,-0.000621914638763509,0.140014152294825,0.275246203994572,0.509307878284075,1.00097907448542,50000
"LL[36]",0.0520561378628459,0.286347040220618,-0.618014475827749,-0.10005036484531,0.0865321281569834,0.248742123970387,0.508642591689752,1.0010020907303,50000
"LL[37]",-0.28873915862233,0.624925529699334,-1.95224980127243,-0.509584213903759,-0.128818073273948,0.114774896225341,0.434811755799938,1.00098421260695,50000
"Sigma[1,1]",0.0767701140653471,0.0206720833561934,0.0462421325557555,0.0621712506924154,0.0734715545423801,0.0876868577353315,0.126563119041709,1.00098798762869,50000
"Sigma[2,1]",-0.0156191736438238,0.0245753910796551,-0.0680147116355305,-0.0300481624049712,-0.014498569123205,-0.000102075397323593,0.030600165583225,1.00099759283572,50000
"Sigma[1,2]",-0.0156191736438238,0.0245753910796551,-0.0680147116355305,-0.0300481624049712,-0.014498569123205,-0.000102075397323593,0.030600165583225,1.00099759283572,50000
"Sigma[2,2]",0.214666766026048,0.0591501349071896,0.128091286037664,0.173245047525052,0.204983018495244,0.245401847047423,0.358360404561903,1.00099812153149,50000
"alpha[1]",4.49263290128551,0.166254303934806,4.16587535864626,4.38978838118047,4.4932102748216,4.59637033993675,4.81217703920494,1.00099339506089,50000
"alpha[2]",-2.50325020112388,0.377198381669966,-3.23978091241973,-2.72991451112332,-2.50420296619985,-2.27666188412705,-1.75740579055103,1.00097949041204,50000
"beta2[1,1]",0,0,0,0,0,0,0,1,1
"beta2[2,1]",0.130507410849732,0.17463218015165,-0.213815220460644,0.0151581897353115,0.130723596709898,0.245418032713699,0.473581448361677,1.0010041073214,50000
"beta2[3,1]",-0.0489940259406207,0.127904239498606,-0.299993644817381,-0.133199412146523,-0.0497844168952398,0.0355115773787653,0.205204492685316,1.00099427307717,50000
"beta2[4,1]",-0.0213800590034959,0.206197194314084,-0.421804291337233,-0.158777824922986,-0.0221178867108447,0.114558530658297,0.388049809097634,1.0009955209736,50000
"beta2[1,2]",0,0,0,0,0,0,0,1,1
"beta2[2,2]",-0.068854931273955,0.294717762618036,-0.66148121077446,-0.261190651527403,-0.0681858577978387,0.12650736252092,0.503214615057006,1.00105743757714,19000
"beta2[3,2]",0.259460802401077,0.214893868832297,-0.164949691291653,0.117914902561827,0.261691925449784,0.402358782469569,0.681593448368296,1.00097881573588,50000
"beta2[4,2]",0.0216217481366738,0.347120382833505,-0.666238312915749,-0.207715934566421,0.0228614465388247,0.251801500738049,0.699687185615011,1.00101796364806,38000
"deviance",18.3183541011564,11.0819131428094,-1.77289523268061,10.6292432829719,17.7433525014148,25.4542616914003,41.5822132483685,1.0009827491654,50000
"exp.mean[1,1]",71.8113432698153,9.57678077880522,54.7850685649451,65.1861702841049,71.1978339473334,77.7554987453024,92.4142425513092,1.00100566653509,50000
"exp.mean[2,1]",109.041945035827,15.6761438044249,81.3169048240488,98.1913584251814,108.017764053457,118.761389662363,142.614878629662,1.0010429944697,23000
"exp.mean[3,1]",87.247491763681,13.246850203674,63.9552627393899,78.1186427495759,86.2768442060269,95.1664954827133,116.010080542711,1.00098873851645,50000
"exp.mean[4,1]",103.276584464626,13.1470334748975,79.7174473833666,94.3103564112396,102.465834138187,111.424717541294,131.352924371052,1.00098402836593,50000
"exp.mean[5,1]",85.3512200137056,16.907545539227,55.5656669016482,73.9317076068314,84.1765494304239,95.2712081341068,122.443564979062,1.00098184522931,50000
"exp.mean[1,2]",0.169436747060061,0.0387365751062465,0.104864894572937,0.142339213026385,0.165464253225944,0.192101542874798,0.25610555661273,1.00101043452001,47000
"exp.mean[2,2]",0.0479997279903778,0.0124565210163833,0.028513297791519,0.0392629530739532,0.0463794449386537,0.0548679943232961,0.0770399115241581,1.00105383799856,20000
"exp.mean[3,2]",0.0961150691042917,0.0275883258544206,0.0531582191918179,0.0768833668660324,0.0925522596345358,0.111039043721216,0.160190178123896,1.00100682247626,50000
"exp.mean[4,2]",0.0559901388614014,0.0123462481729923,0.0357882409972391,0.0474520072974681,0.0545934347088183,0.0630596934187459,0.0838162928245162,1.00098724578638,50000
"exp.mean[5,2]",0.1030105729455,0.0446419704496329,0.0423757256312412,0.0723750347960748,0.0944636788655607,0.124080340892121,0.213405807064553,1.00098468615704,50000
"intercept[1]",90.6026723289972,15.4112469905731,64.4490738141091,80.623355755753,89.4080099410179,99.1238759270932,122.999100117196,1.00099678238832,50000
"intercept[2]",0.0880071023182756,0.0389335393354106,0.0391724763619878,0.0652248654302687,0.0817407221471668,0.102626213761519,0.172491763659683,1.00097949041204,50000
"mu[1,1]",4.21625037034888,0.0955472035939956,4.02816744259768,4.15289967566526,4.21592424320491,4.27960827841056,4.4042473534436,1.0009820466001,50000
"mu[2,1]",4.21625037034888,0.0955472035939956,4.02816744259768,4.15289967566526,4.21592424320491,4.27960827841056,4.4042473534436,1.0009820466001,50000
"mu[3,1]",4.39575180713923,0.157486542993474,4.08599524484423,4.2909965864465,4.39616694141001,4.50020835130508,4.70755511283094,1.0010778020505,15000
"mu[4,1]",4.21625037034888,0.0955472035939956,4.02816744259768,4.15289967566526,4.21592424320491,4.27960827841056,4.4042473534436,1.0009820466001,50000
