"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"LL[1]",-0.0155630502720018,0.283165351293777,-0.65291244369135,-0.182898120234958,0.0148401676013349,0.185487878096301,0.453257561411188,1.00098576574345,50000
"LL[2]",0.114475992747339,0.231502294710715,-0.399995388685392,-0.0204582873292844,0.133897530501221,0.273246475523322,0.510065437215562,1.00098128851555,50000
"LL[3]",-0.550131986634103,0.453333212086244,-1.61254826288881,-0.810023354729658,-0.486354873774073,-0.223106801192512,0.148925528133172,1.0009887890158,50000
"LL[4]",-0.431464092553623,0.405207298546822,-1.36415709260768,-0.67332569376728,-0.383352400343229,-0.138615360478377,0.222271512585968,1.00108215865269,14000
"LL[5]",0.159684118234699,0.220487861400732,-0.325395951534287,0.0266985198774855,0.176821822832171,0.311859770130709,0.542554721955056,1.00106917680002,17000
"LL[6]",-0.00746340427832738,0.28125427534062,-0.650534231381584,-0.170119193794173,0.0241160275446588,0.189759830034814,0.455069845867511,1.00113133718422,9800
"LL[7]",0.178005224917917,0.212055878207741,-0.28079561377117,0.0478906395131948,0.193371646631962,0.324679918759728,0.549920323668698,1.00105171622007,21000
"LL[8]",0.119621338185008,0.233811631584337,-0.397334946269735,-0.0196721035966052,0.139276058385419,0.281210075022509,0.523053706111497,1.00099008259998,50000
"LL[9]",0.0368276985395536,0.268035119717819,-0.575308607977158,-0.118895323077327,0.0652677353505735,0.224174815864909,0.481587094858641,1.00106043501502,18000
"LL[10]",-0.669325427259601,0.474181624747509,-1.76795475836056,-0.940954795786658,-0.606270564186217,-0.329407720562578,0.0727615035493039,1.0009796118232,50000
"LL[11]",-0.276536656202531,0.352167353876942,-1.09176126619968,-0.476701799621079,-0.230238102801524,-0.0279669789914602,0.282106274435315,1.00098668773939,50000
"LL[12]",-0.444325273698055,0.383769820645231,-1.29774529340123,-0.677571308232425,-0.405714151759688,-0.171385796213873,0.195317045938527,1.00105920088623,19000
"LL[13]",-0.178741805747906,0.333380120664726,-0.948668016142777,-0.366658511692797,-0.133865527960707,0.0569627134516169,0.347508988764744,1.00097995635795,50000
"LL[14]",-1.81498431328634,0.745951525964591,-3.47436446944272,-2.27768048713947,-1.73408105690754,-1.27714025729662,-0.579414564585552,1.00099274767622,50000
"LL[15]",-0.0554961273584114,0.286700669338141,-0.718247360178237,-0.217545961276566,-0.0204890571882513,0.144818985113797,0.410066220223645,1.00098136991961,50000
"LL[16]",-0.0078465957432244,0.268998359627202,-0.619134479789045,-0.164357379459392,0.0195951200186706,0.180444043628858,0.440249302043339,1.00104025004587,24000
"LL[17]",-1.46908163229147,0.659478326539377,-2.94399364246979,-1.87191593675857,-1.39776703717156,-0.993153339324697,-0.382439951785426,1.00105654461195,19000
"LL[18]",0.0402132494305741,0.260667671847822,-0.546602315948262,-0.113053852275096,0.0664084771255729,0.221396056113429,0.479429150102052,1.001016139639,40000
"LL[19]",0.06165106372705,0.31116209158835,-0.707263766999525,-0.0840681870978654,0.110951042032316,0.268773782537606,0.525468717937012,1.00098998908649,50000
"LL[20]",-0.123105771974736,0.432551013406981,-1.22747251710331,-0.320423898407145,-0.0335545959790718,0.171935452984877,0.463714572836645,1.0010032739509,50000
"LL[21]",-0.103871639879872,0.427660509532788,-1.20385927450235,-0.29068654662907,-0.0119686956782643,0.184729490480668,0.466136468385066,1.00098290392649,50000
"LL[22]",-0.566808167853669,0.362827581393596,-1.37962228774963,-0.785321774163123,-0.527563611259019,-0.308720522733597,0.0317989559279088,1.00099359396188,50000
"LL[23]",-1.18379008738099,0.494589426400248,-2.2819974633795,-1.48533469293939,-1.13525618779833,-0.832203316107981,-0.358682626369859,1.00112641644718,10000
"LL[24]",0.066375029976846,0.213604654641372,-0.388084020334737,-0.0685570587135486,0.0785054102399602,0.215003218752269,0.451484302224707,1.00098484842986,50000
"LL[25]",0.175031842841696,0.195924765961896,-0.233403454243251,0.048273792574516,0.18458736708923,0.310965482816726,0.535828113164927,1.00101474140099,41000
"LL[26]",0.23179225652799,0.185366488090345,-0.148000301832783,0.111508130196211,0.237765366937717,0.359731152138029,0.577236638398625,1.00098822257139,50000
"LL[27]",-0.122448945606186,0.258772117661496,-0.693631375938537,-0.280364829329467,-0.0991319807866729,0.0593010105399644,0.320554955781586,1.00099490758911,50000
"LL[28]",0.221847733892442,0.187134494167769,-0.16641792758645,0.100741899450226,0.229106793645877,0.350025281487043,0.571422228283548,1.00097850921873,50000
"LL[29]",-0.20657660242817,0.278459067189635,-0.824951027071581,-0.374798237396579,-0.182461201196035,-0.00946302457372122,0.267765126422908,1.0010853799887,14000
"LL[30]",0.0697161701814693,0.22065244399285,-0.405865350173734,-0.0674451070865964,0.0834986562630019,0.224131651759835,0.460503792725677,1.00105116437538,21000
"LL[31]",-0.159237436762967,0.265403922344664,-0.744464217545847,-0.320232064494237,-0.134781436037297,0.0279470453872133,0.291286079999905,1.00099594035001,50000
"LL[32]",-0.105540673625451,0.256853774975833,-0.669536626623002,-0.261457176249582,-0.0824941128897673,0.0751627514349349,0.334489205487029,1.00099387674665,50000
"LL[33]",-0.221272013176941,0.28169857909515,-0.847039938243753,-0.392083716913068,-0.197276689814057,-0.0212909725643537,0.258955720029398,1.00108019610729,15000
"LL[34]",0.120789293913566,0.208408229188291,-0.320279088000626,-0.0121112758526407,0.132805502701573,0.265680179184452,0.496033656301018,1.00104336647963,23000
"LL[35]",0.103967464307057,0.208621570798313,-0.341546217809176,-0.0277485047314551,0.116326344960917,0.248833134710479,0.478081627303869,1.00098209074883,50000
