"","Count","Proportion","Min. n_eff"
"(-Inf, 0.5]",30,0.810810810810811,9566.76234241603
"(0.5, 0.7]",5,0.135135135135135,2568.97948847814
"(0.7, 1]",2,0.0540540540540541,530.396444180883
"(1, Inf)",0,0,NA
